Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
1/26/2021,377.568512,379.1622459,379.5951156,377.3225646,4.516924699,0.141657045,4.375267654,0,hold,,0
1/27/2021,368.3405151,374.0563279,374.1547129,365.9794271,3.696250188,-0.543213973,4.239464161,-2,sell,0,0
1/28/2021,371.5083618,370.2589302,375.7386438,369.796578,3.263854792,-0.780487495,4.044342287,0,hold,,0
1/29/2021,364.0709229,369.5407891,370.5639384,362.3000841,2.294588569,-1.399802975,3.694391543,0,hold,,0
2/1/2021,370.1310425,367.6617218,371.2230341,364.3758693,1.992471145,-1.361536319,3.354007464,0,hold,,0
2/2/2021,375.3648071,373.4956134,377.0077485,370.2196081,2.150571526,-0.96274875,3.113320276,0,hold,,0
2/3/2021,375.6599426,376.2403747,377.4799588,374.3121561,2.273474981,-0.671876236,2.945351217,0,hold,,0
2/4/2021,379.9295654,376.7519154,379.9787429,375.7779737,2.684455006,-0.208716969,2.893171975,0,hold,,0
2/5/2021,381.4249573,381.9070345,382.1726468,379.8804308,3.095146341,0.161579493,2.933566848,2,hold,,0
2/8/2021,384.1795654,382.9596463,384.2287429,382.054577,3.601381554,0.534251765,3.067129789,0,hold,,0
2/9/2021,383.9237671,383.2941275,384.5534066,382.8612879,3.936557634,0.695542276,3.241015358,0,hold,,0
2/10/2021,383.7565002,385.7634387,385.9208486,381.2183372,4.140955696,0.71995227,3.421003426,0,hold,,0
2/11/2021,384.3763428,384.8977499,385.3404672,381.8086669,4.303352377,0.705879161,3.597473216,0,hold,,0
2/12/2021,386.2750244,383.530244,386.5307892,383.4515241,4.533006975,0.748427007,3.784579968,0,hold,,0
2/16/2021,385.9405212,387.573615,387.7802324,385.1830143,4.634593577,0.680010888,3.95458269,0,hold,,0
2/17/2021,386.0290833,384.0910172,386.2946955,383.0186605,4.668433115,0.57108034,4.097352775,0,hold,,0
2/18/2021,384.3861694,383.2744827,385.1731889,381.4544664,4.510685404,0.330666104,4.180019301,0,hold,,0
2/19/2021,383.7073059,385.7142443,386.0192166,383.2350763,4.281535716,0.081213132,4.200322584,0,hold,,0
2/22/2021,380.7559509,380.7854634,383.3039615,380.4706436,3.817774329,-0.306038604,4.123812933,-2,sell,0,0
2/23/2021,381.2183533,378.4243953,382.6448598,374.0367034,3.44780791,-0.540804018,3.988611928,0,hold,,0
2/24/2021,385.4191284,380.0673122,385.8716931,379.0244979,3.453761492,-0.427880349,3.881641841,0,hold,,0
2/25/2021,376.1321106,384.0811441,385.5273154,374.6072493,2.678222147,-0.962735755,3.640957902,0,hold,,0
2/26/2021,374.1940918,378.1194316,379.3294733,372.0986458,1.885485011,-1.404378313,3.289863324,0,hold,,0
3/1/2021,383.2646484,379.3393385,384.5829526,374.4007267,1.966484822,-1.058702802,3.025187623,0,hold,,0
3/2/2021,380.2739258,383.5007535,383.7467008,379.7426712,1.768959962,-1.004982129,2.773942091,0,hold,,0
3/3/2021,375.236908,379.5360622,380.5591814,375.1286755,1.192231542,-1.265368439,2.457599981,0,hold,,0
3/4/2021,370.5934448,375.0401617,377.7750948,365.8515731,0.356373396,-1.680981268,2.037354664,0,hold,,0
3/5/2021,377.4110718,374.2924467,378.5227584,366.5992376,0.241293826,-1.436848671,1.678142497,0,hold,,0
3/8/2021,375.5320435,378.4243863,381.3954191,375.2369187,-0.001512015,-1.343723609,1.342211594,0,hold,,0
3/9/2021,380.8936768,379.5950678,383.5892496,379.0638132,0.235981359,-0.884984188,1.120965547,0,hold,,0
3/10/2021,383.2646484,383.3728809,385.0551523,381.8775318,0.608499762,-0.409972628,1.01847239,0,hold,,0
3/11/2021,387.1505737,385.8716597,389.2362021,385.3895826,1.203412782,0.147952314,1.055460469,2,hold,,0
3/12/2021,387.6719971,385.714266,387.8195595,384.8583742,1.697393645,0.513546541,1.183847104,0,hold,,0
3/15/2021,389.9839172,387.9376187,390.259377,385.6749153,2.249498851,0.852521398,1.396977454,0,hold,,0
3/16/2021,389.4919739,390.6331729,391.3808323,388.6754121,2.617181251,0.976163038,1.641018213,0,hold,,0
3/17/2021,390.8201599,388.1344042,391.6662043,386.9243325,2.981378242,1.072288023,1.909090219,0,hold,,0
3/18/2021,385.1338196,388.0851873,390.2888656,384.4156426,2.77913075,0.696032425,2.083098325,0,hold,,0
3/19/2021,384.4212036,384.8160021,386.4840538,382.1214502,2.532156874,0.359246839,2.172910035,0,hold,,0
3/22/2021,387.4908142,384.9640674,388.951602,384.9048491,2.554671556,0.305409217,2.249262339,0,hold,,0
3/23/2021,384.4409485,386.8196496,388.3495053,383.6118625,2.299904066,0.040513382,2.259390684,0,hold,,0
3/24/2021,382.4866333,385.9214437,387.6487136,382.4372948,1.918190387,-0.272960238,2.191150625,-2,sell,0,0
3/25/2021,384.6383667,380.966683,385.4773023,378.9136823,1.768915493,-0.337788106,2.106703598,0,hold,,0
3/26/2021,390.8368225,385.8523964,391.2612302,385.2207247,2.126267358,0.015651008,2.11061635,2,hold,,0
3/29/2021,390.6394043,389.2773236,391.5968066,387.707979,2.366264462,0.204518489,2.161745973,0,hold,,0
3/30/2021,389.6030273,389.2970562,390.3136768,387.9152161,2.44465646,0.22632839,2.21832807,0,hold,,0
3/31/2021,391.182251,390.2051192,392.8305734,390.1755101,2.604193312,0.308692194,2.295501119,0,hold,,0
4/1/2021,395.4066162,393.2253295,395.4658646,393.0081858,3.036495556,0.59279555,2.443700006,0,hold,,0
4/5/2021,401.0819397,398.2196126,401.6544232,398.140665,3.793322316,1.079697848,2.713624468,0,hold,,0
4/6/2021,400.8450623,400.4897526,401.9505102,400.1344128,4.324152803,1.288422668,3.035730135,0,hold,,0
4/7/2021,401.3089905,400.667439,401.6741799,400.1838131,4.72777606,1.35363674,3.37413932,0,hold,,0
4/8/2021,403.2138977,402.6315646,403.273116,401.6445531,5.142085729,1.414357127,3.727728602,0,hold,,0
4/9/2021,406.1452942,403.0855831,406.3229791,402.9572668,5.641931648,1.531362437,4.110569211,0,hold,,0
4/12/2021,406.293396,405.5136485,406.5796076,404.8720971,5.981067693,1.496398785,4.484668907,0,hold,,0
4/13/2021,407.4975281,406.1848161,408.158839,405.7801378,6.274668376,1.431999575,4.842668801,0,hold,,0
4/14/2021,406.1058655,407.467916,408.5832437,405.533382,6.322175389,1.18360527,5.138570119,0,hold,,0
4/15/2021,410.4684448,408.3661056,410.7546866,408.3167671,6.635360428,1.197432248,5.437928181,0,hold,,0
4/16/2021,411.8403931,411.8305133,412.4819445,410.3302668,6.914559844,1.18130533,5.733254513,0,hold,,0
4/19/2021,409.8170166,410.8533967,411.3271429,408.4154772,6.893098473,0.927875168,5.965223305,0,hold,,0
4/20/2021,406.8164673,408.5338573,409.6985235,405.2569725,6.558370121,0.474517452,6.083852668,0,hold,,0
4/21/2021,410.6658325,406.165063,410.8829762,406.0169872,6.528451172,0.355678803,6.172772369,0,hold,,0
4/22/2021,406.9151917,410.4881983,411.3666228,405.7900143,6.131415674,-0.033085356,6.16450103,-2,sell,0,0
4/23/2021,411.3271179,407.5073887,412.8175148,407.428441,6.102422828,-0.049662562,6.15208539,0,hold,,0
4/26/2021,412.1858215,412.0180465,412.7879142,411.3962245,6.078664928,-0.058736369,6.137401297,0,hold,,0
4/27/2021,412.0969849,412.5016631,412.7089572,410.8928298,5.983691968,-0.122967464,6.106659431,0,hold,,0
4/28/2021,411.9785461,412.3832244,413.5676501,411.4850404,5.831644629,-0.220011842,6.051656471,0,hold,,0
4/29/2021,414.6040344,414.860667,415.2554656,411.0310577,5.855502392,-0.156923263,6.012425655,0,hold,,0
4/30/2021,411.8798828,412.2056135,413.1037975,410.9323602,5.590153761,-0.337817515,5.927971276,0,hold,,0
5/3/2021,412.7681885,413.9821932,414.3868715,412.2450736,5.389416068,-0.430844166,5.820260235,0,hold,,0
5/4/2021,410.2217102,410.6658774,411.1889923,406.3230329,4.967587232,-0.682138402,5.649725634,0,hold,,0
5/5/2021,410.3499756,411.9588089,412.2055618,409.7577627,4.59071587,-0.847207811,5.437923681,0,hold,,0
5/6/2021,413.6268921,410.4289545,413.765058,408.306886,4.504536879,-0.746709442,5.251246321,0,hold,,0
